UUID,category_boundary,learning_stimuli,testing_stimuli,testing_individual_results,testing_individual_correctness,testing_round_correctness,testing_round_certainties,testing_overall_correctness
952583bb-b52f-4583-907a-be78ea66a1df,0.61,"[[0.6200000000000001, 0.6000000000000001, 0.6000000000000001], [0.48, 0.56, 0.54], [0.6400000000000001, 0.3999999999999999, 0.54], [0.5, 0.5800000000000001, 0.7400000000000002], [0.5, 0.6000000000000001, 0.6000000000000001]]","[[0.9913532004297088, 0.0650184876703223, 0.1613813678679352, 0.262870826585086, 0.3683206161065638, 0.1829236656581178, 0.1719353066396851, 0.3116510908139356], [0.9895247995496588, 0.4934731957859694, 0.7174203146826698, 0.8045523889072088, 0.8350947799382412, 0.8979636272674617, 0.9161799035700812, 0.1486833847444959], [0.6748520632938556, 0.7110238295660338, 0.6610036939218817, 0.293524559615306, 0.8508234434216201, 0.8732638726303624, 0.7754941879399814, 0.8838248195640072], [0.7832875898051838, 0.3191012761410059, 0.810507086248641, 0.0174865118843162, 0.5792341980781379, 0.7201156796998418, 0.2046635522784112, 0.0392819428874088], [0.9404086007980116, 0.2844786207817108, 0.1120762543797119, 0.0554449244301714, 0.5237869563693608, 0.7835262639276684, 0.5975719208293985, 0.5723085115085425]]","[[True, False, False, False, False, False, False, False], [True, False, False, False, False, True, True, False], [True, True, True, False, True, True, True, True], [True, False, True, False, False, True, False, False], [True, False, False, False, False, True, True, True]]","[[True, True, True, True, True, True, True, True], [True, True, False, False, False, True, True, True], [True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True], [True, True, True, True, True, True, False, False]]","[1.0, 0.625, 1.0, 1.0, 0.75]","[4, 0, 4, 2, 2]",0.875
926fef8e-b919-4484-88be-5967d91ebb40,0.61,"[[0.12, 0.5, 1.0], [0.5, 0.6799999999999997, 0.56], [0.6799999999999997, 0.6200000000000001, 0.54], [0.56, 0.6200000000000001, 0.5800000000000001], [0.6000000000000001, 0.6200000000000001, 0.6200000000000001]]","[[0.6783246979325521, 0.0388752485485089, 0.9380528388010246, 0.5442409939806575, 0.3866615482205078, 0.082318275552126, 0.1881249538082554, 0.77113637814701], [0.9011557519292974, 0.3162608965914282, 0.5233576467012624, 0.8227607451485756, 0.5499369206865641, 0.8427778362971216, 0.2005463722726534, 0.0895020651431198], [0.2596333414063051, 0.1312232045273561, 0.1792572061175062, 0.161990986634257, 0.3624822044361441, 0.8792992616105004, 0.6941371361524311, 0.328373966521907], [0.9341866722563898, 0.2781903985319326, 0.0965298110491182, 0.3673162073381035, 0.1480589930921705, 0.0207725458075982, 0.9863959421241864, 0.4541469230028309], [0.6270452629401193, 0.9873916732568584, 0.7191029022097771, 0.5398685638483013, 0.969051825803455, 0.4152770063090159, 0.6471476198333457, 0.0596475732326291]]","[[False, False, True, False, False, False, False, True], [True, False, True, True, True, True, False, False], [False, False, False, False, False, True, True, False], [True, False, False, False, False, False, True, True], [True, True, True, False, True, False, True, False]]","[[False, True, True, True, True, True, True, True], [True, True, False, True, False, True, True, True], [True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, False], [True, True, True, True, True, True, True, True]]","[0.875, 0.75, 1.0, 0.875, 1.0]","[3, 3, 3, 2, 2]",0.9
2f743807-8804-430c-832e-fab35b3221c3,0.61,"[[0.5, 0.8000000000000003, 1.0], [0.5, 0.56, 0.6400000000000001], [0.5, 0.6200000000000001, 0.7000000000000002], [0.5, 0.6200000000000001, 0.5], [0.5, 0.7400000000000002, 0.7800000000000002]]","[[0.3386455851017779, 0.2143124106201293, 0.4487718777183785, 0.0060860107088039, 0.4215864081647796, 0.6387381251580674, 0.1012816162283191, 0.5736043582706529], [0.5019433539328816, 0.4724882206384782, 0.2783803135632879, 0.9048736065903202, 0.8479212628159358, 0.6368134811535137, 0.0163794440430732, 0.5423988297974797], [0.0587229269422246, 0.2775567002252204, 0.9871729357146528, 0.912469008962998, 0.1680175988639467, 0.2292651956602832, 0.004652731817177, 0.0216827108327872], [0.0001952626328468, 0.2334097319962788, 0.7080927451303038, 0.5548405691532078, 0.8190962258740957, 0.4477892429639813, 0.3970579228250741, 0.9584121747017276], [0.633680832811978, 0.6788847459916505, 0.3206045285339324, 0.209447689029849, 0.3707540684509586, 0.2223867094772712, 0.4376000659576319, 0.7703446829345414]]","[[False, False, False, False, False, False, False, True], [True, False, False, True, True, True, False, False], [False, False, True, True, False, False, False, False], [False, False, True, False, True, False, False, True], [False, True, False, False, False, False, True, True]]","[[True, True, True, True, True, False, True, False], [False, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True], [False, True, True, True, True, True, False, True]]","[0.75, 0.875, 1.0, 1.0, 0.75]","[1, 0, 3, 2, 3]",0.875
56362af8-0809-408f-8c4e-b78338bee634,0.61,"[[0.5, 0.7000000000000002, 0.48], [0.5, 0.5, 0.5], [0.52, 0.54, 0.5], [0.56, 0.5800000000000001, 0.5], [0.6000000000000001, 0.6200000000000001, 0.6200000000000001]]","[[0.7404891069963869, 0.8517343229212742, 0.6639292903806092, 0.5099909107146436, 0.0228849487980346, 0.7082118773831263, 0.9221476655802666, 0.5142414323937251], [0.686860431089582, 0.5305701066265045, 0.0774896386300199, 0.8530865057240973, 0.9865297926602364, 0.9121502906134482, 0.0998803583712859, 0.4733966184460423], [0.4159585140365419, 0.7268493534229983, 0.6243422255670164, 0.2683836673117882, 0.3536936984088253, 0.7801426285306029, 0.4487781574552483, 0.3542569514922111], [0.1772688877172092, 0.3914005185833361, 0.9944097296135388, 0.7624107408078297, 0.6188926816335705, 0.4753038428988069, 0.7572120529604306, 0.3677788181298737], [0.4377513135758588, 0.8008194290324636, 0.8990299239977412, 0.0361860916584689, 0.8289152911880929, 0.721703493425389, 0.7561665629158077, 0.0402165657994116]]","[[True, True, False, False, False, True, True, False], [True, False, False, True, True, True, False, False], [False, True, False, False, False, True, False, False], [False, False, True, True, False, False, True, False], [False, True, True, False, True, True, True, False]]","[[True, True, False, True, True, True, True, True], [True, True, True, True, True, True, True, True], [True, True, False, True, True, True, True, True], [True, True, True, True, False, True, True, True], [True, True, True, True, True, True, True, True]]","[0.875, 1.0, 0.875, 0.875, 1.0]","[3, 4, 4, 4, 3]",0.925
